queue_id,source_path,title,domain,artifact_type,proposed_id,proposed_hsn,status,priority,notes
IQ-0033,docs/domains/archive.md,Archive Domain,docs,artifact,AL-ARCH-99D99315,H10-S02-N04,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0034,docs/domains/governance.md,Governance Domain,docs,artifact,AL-ARCH-A119B788,H06-S02-N04,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0035,docs/domains/projects.md,Projects Domain,docs,artifact,AL-ARCH-E7380A87,H04-S09-N11,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0036,docs/evidence/README.md,Evidence Ledger Index,docs,guide,AL-ARCH-A3912918,H08-S02-N06,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0037,docs/evidence-coverage-dashboard.md,Evidence Coverage Dashboard,docs,evidence,AL-EVID-913DFB4A,H02-S02-N12,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0038,docs/evidence-standards.md,Evidence Standards,docs,evidence,AL-EVID-FF93566C,H04-S04-N03,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0039,docs/explainers/README.md,Explainers,docs,guide,AL-ARCH-8CA63E44,H09-S11-N03,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0040,docs/explainers/evidence-and-trust-explainer.md,Evidence and Trust Explainer,docs,evidence,AL-EVID-0FAEB932,H04-S07-N06,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0041,docs/explainers/knowledge-graph-explainer.md,Knowledge Graph Explainer,docs,artifact,AL-ARCH-EBDCF46B,H08-S05-N05,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0042,docs/intake/README.md,Intake,docs,guide,AL-ARCH-F57E20B3,H06-S07-N09,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0043,docs/intake/import-receipt-template.md,Import Receipt Template,docs,artifact,AL-ARCH-F89D922C,H09-S02-N03,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0044,docs/intake/import-triage-classes.md,Import Triage Classes,docs,artifact,AL-ARCH-8D58138A,H10-S05-N08,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0045,docs/intake/intake-checklist.md,Intake Checklist,docs,artifact,AL-ARCH-61C4A432,H02-S05-N09,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0046,docs/intake/intake-status-dashboard.md,Intake Status Dashboard,docs,artifact,AL-ARCH-FFB10AB7,H04-S10-N11,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0047,docs/intake/ip-500-tracker.md,500+ IP Publication Tracker,docs,artifact,AL-ARCH-E63348D9,H03-S04-N01,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0048,docs/intake/migration-backlog.md,Migration Backlog,docs,artifact,AL-ARCH-BE52573F,H11-S11-N04,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0049,docs/intake/migration-standards-v0.1.md,Migration Standards v0.1,docs,artifact,AL-ARCH-CA0730D6,H11-S08-N01,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0050,docs/knowledge-graph/live/README.md,Live KG Explorer (Candidate),docs,guide,AL-ARCH-69A8CC44,H10-S01-N01,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0051,docs/knowledge-graph/reverse_links_autogenerated.md,Reverse Links (Autogenerated),docs,artifact,AL-ARCH-C075C6EA,H01-S10-N07,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0052,docs/launch/README.md,Launch Package,docs,guide,AL-ARCH-32B95901,H03-S06-N06,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0053,docs/launch/launch-readiness-briefing-2026-05-28.md,Launch Readiness Briefing — 2026-05-28,docs,report,AL-RESEARCH-2F7DF5E3,H12-S06-N06,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0054,docs/launch/public-contribution-starter-path.md,Public Contribution Starter Path,docs,artifact,AL-ARCH-51E2ADF9,H10-S11-N06,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0055,docs/launch/public-maintenance-roadmap.md,Public Maintenance Roadmap,docs,artifact,AL-ARCH-7F3B5DAA,H08-S12-N10,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0056,docs/operational-manifest-v1.0.0-alpha.md,Constitutional Computing OS: Operational Manifest,docs,artifact,AL-ARCH-114F0E4C,H06-S08-N03,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0057,docs/quarterly-report-2026-Q2.md,Quarterly Report — 2026 Q2,docs,report,AL-RESEARCH-162620CA,H11-S03-N09,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0058,docs/ratification/README.md,Ratification,docs,guide,AL-ARCH-35D6B618,H06-S11-N03,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0059,docs/ratification/adjudication-request-template.md,Adjudication Request Template,docs,artifact,AL-ARCH-2B386566,H08-S09-N06,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0060,docs/ratification/canon-boundary-audit-2026-05-28.md,Canon Boundary Audit — 2026-05-28,docs,artifact,AL-ARCH-CF62A636,H04-S03-N11,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0061,docs/ratification/pre-ratification-checklist-code.md,Pre-Ratification Checklist — Code Artifact,docs,artifact,AL-ARCH-057C74C9,H06-S05-N09,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0062,docs/ratification/pre-ratification-checklist-flagship.md,Pre-Ratification Checklist — Flagship Artifact,docs,artifact,AL-ARCH-C6B9630E,H07-S06-N04,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0063,docs/ratification/pre-ratification-checklist-governance.md,Pre-Ratification Checklist — Governance Artifact,docs,artifact,AL-ARCH-C99E20C3,H10-S03-N09,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0064,docs/ratification/ratification-candidate-queue.md,Ratification Candidate Queue,docs,artifact,AL-ARCH-6FC6E354,H04-S07-N12,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0065,docs/ratification/ratification-packet-requirements.md,Ratification Packet Requirements,docs,artifact,AL-ARCH-35AF7DD9,H06-S08-N06,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0066,docs/ratification/trust-state-rubric.md,Trust State Rubric,docs,artifact,AL-ARCH-FF2DD87C,H04-S10-N01,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0067,docs/reading-lists/README.md,Reading Lists,docs,guide,AL-ARCH-5BDCA186,H08-S05-N06,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0068,docs/reading-lists/aetherforge-game.md,Aetherforge Game / Curation Reading List,docs,artifact,AL-ARCH-A60791B3,H11-S08-N02,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0069,docs/reading-lists/governance-and-ai-safety.md,Governance and AI Safety Reading List,docs,artifact,AL-ARCH-322CA399,H03-S09-N08,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0070,docs/reading-lists/knowledge-graph-architecture.md,Knowledge Graph Architecture Reading List,docs,artifact,AL-ARCH-4FBD4CE1,H08-S10-N05,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0071,docs/reading-paths/README.md,Reading Paths,docs,guide,AL-ARCH-1777CF21,H12-S12-N04,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0072,docs/reading-paths/for-contributors.md,Reading Path for Contributors,docs,artifact,AL-ARCH-6B4173A5,H12-S06-N08,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0073,docs/reading-paths/for-engineers.md,Reading Path for Engineers,docs,artifact,AL-ARCH-B39B5297,H12-S12-N11,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0074,docs/reading-paths/for-governance.md,Reading Path for Governance,docs,artifact,AL-ARCH-36902344,H07-S01-N12,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0075,docs/reading-paths/for-researchers.md,Reading Path for Researchers,docs,artifact,AL-ARCH-0471905A,H05-S06-N01,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0076,docs/review-sla.md,Review SLA,docs,artifact,AL-ARCH-5A2DF80E,H07-S10-N09,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0077,docs/spotlight/README.md,Spotlight,docs,guide,AL-ARCH-B5EC8226,H02-S09-N11,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0078,docs/spotlight/aluminum-os.md,Aluminum OS Spotlight,docs,artifact,AL-ARCH-A57D425D,H10-S06-N07,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0079,docs/spotlight/gptdream-plus-plus.md,GPTDream++ Spotlight,docs,artifact,AL-ARCH-3CC2590C,H01-S03-N06,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0080,docs/topics/README.md,Topics Index,docs,guide,AL-ARCH-01D0ACDA,H02-S05-N05,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0081,docs/topics/aetherforge-game.md,Aetherforge Game,docs,artifact,AL-ARCH-1C6DD748,H05-S02-N12,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0082,docs/topics/governance.md,Governance,docs,artifact,AL-ARCH-5561714B,H02-S02-N06,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0083,docs/topics/gptdream-protocols.md,GPTDream Protocols,docs,spec,AL-GP-D72C7D7F,H12-S09-N06,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0084,docs/topics/knowledge-graph.md,Knowledge Graph,docs,artifact,AL-ARCH-2773D363,H04-S08-N08,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0085,docs/topics/multi-agent-systems.md,Multi-Agent Systems,docs,artifact,AL-ARCH-EB6FE09B,H08-S04-N09,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0086,docs/unified-field-v4.0.md,"⚡ ALUMINUM OS — UNIFIED FIELD v4.0 (March 20, 2026)",docs,artifact,AL-ARCH-D9B21126,H02-S11-N06,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0087,docs/validation-receipt-format-v0.1.md,Validation Receipt Format v0.1,docs,artifact,AL-ARCH-7FB2BC31,H08-S11-N09,QUEUED,10,Autogenerated candidate for registry ingestion.
IQ-0088,projects/chinook-guardian/README.md,Chinook Guardian — Project Overview,projects,guide,AL-ARCH-B2AAC849,H11-S03-N09,QUEUED,7,Autogenerated candidate for registry ingestion.
IQ-0089,projects/three-tier-autonomy/README.md,Three-Tier Autonomy — Project Overview,projects,guide,AL-ARCH-78D90239,H01-S02-N03,QUEUED,7,Autogenerated candidate for registry ingestion.
IQ-0090,archive/architecture/DEEPSEEK_DRAGONSEEK_FORKABILITY_BREAKTHROUGH_2026-05-08.md,DeepSeek / DragonSeek Forkability Breakthrough,archive,artifact,AL-ARCH-664EC3FD,H07-S07-N04,QUEUED,7,Autogenerated candidate for registry ingestion.
IQ-0091,archive/architecture/LATTICE_AS_AGENT_HABITAT_LIFECYCLE_NOTE_2026-05-08.md,Lattice as Agent Habitat / Lifecycle Architecture Note,archive,artifact,AL-ARCH-3EF9935E,H03-S10-N04,QUEUED,7,Autogenerated candidate for registry ingestion.
IQ-0092,archive/architecture/PLAY_CYCLE_FUN_WORKS_DESIGN_PRINCIPLE_2026-05-08.md,Play Cycle Design Principle — Fun Works,archive,artifact,AL-ARCH-EE9D49EE,H11-S02-N02,QUEUED,7,Autogenerated candidate for registry ingestion.
IQ-0093,archive/architecture/SHELDONBRAIN_MISSING_PARSER_MODULE_DISCOVERY_2026-05-08.md,Sheldonbrain Missing Parser Module Discovery,archive,artifact,AL-ARCH-417B2A0F,H06-S04-N07,QUEUED,7,Autogenerated candidate for registry ingestion.
IQ-0094,archive/assessments/GITHUB_OVER_DRIVE_PUBLIC_MEMORY_BREAKTHROUGH_2026-05-08.md,GitHub-over-Drive Public Memory Breakthrough,archive,report,AL-RESEARCH-62B6956C,H03-S03-N06,QUEUED,7,Autogenerated candidate for registry ingestion.
IQ-0095,archive/assessments/METATRON_CUBE_PHASE_CHANGE_BUILD_2_0_DECISION_NOTE_2026-05-09.md,Metatron’s Cube Phase-Change / Build 2.0 Decision Note,archive,report,AL-RESEARCH-0D2082BE,H02-S09-N11,QUEUED,7,Autogenerated candidate for registry ingestion.
IQ-0096,archive/assessments/MORPHEUS_SPECIAL_RAW_LOGS_PUBLIC_ASSESSMENT_2026-05-08.md,Morpheus Special — Raw Logs Public Assessment,archive,spec,AL-GP-383784B3,H09-S08-N01,QUEUED,7,Autogenerated candidate for registry ingestion.
IQ-0097,archive/boot/COUNCIL_BRAIN_FULL_SYNTHESIS_2026-05-09.md,Council Brain Full Synthesis — All Seats / All Brains,archive,artifact,AL-ARCH-530D85DD,H12-S02-N02,QUEUED,7,Autogenerated candidate for registry ingestion.
IQ-0098,archive/boot/GeminiBrain/ElixirBrain/README.md,ElixirBrain — S4 GeminiBrain Dream Memory Palace,archive,guide,AL-ARCH-BBD74973,H08-S12-N02,QUEUED,7,Autogenerated candidate for registry ingestion.
IQ-0099,archive/boot/GeminiBrain/ForgeBrain/FAILURE_MODES.md,Failure Modes,archive,artifact,AL-ARCH-18DD5999,H01-S06-N06,QUEUED,7,Autogenerated candidate for registry ingestion.
IQ-0100,archive/boot/GeminiBrain/ForgeBrain/FORGEBRAIN_INDEX.md,ForgeBrain Index,archive,artifact,AL-ARCH-14AB0C60,H09-S04-N01,QUEUED,7,Autogenerated candidate for registry ingestion.
IQ-0101,archive/boot/GeminiBrain/ForgeBrain/NAME_CARD.md,Name Card,archive,artifact,AL-ARCH-7B59D64C,H04-S06-N11,QUEUED,7,Autogenerated candidate for registry ingestion.
IQ-0102,archive/boot/agents/TUCKER_GPT_GEMINI_DEFENSE_INTERFACE_SPEC_2026-05-09.md,Tucker GPT / Gemini — Defense Interface Spec,archive,spec,AL-GP-7AE45F26,H03-S01-N12,QUEUED,7,Autogenerated candidate for registry ingestion.
IQ-0103,archive/boot/collaboration/COLLABORATIVE_CREATION_PROTOCOL_2026-05-09.md,Collaborative Creation Protocol — Dave / Human Root + GPTBrain + Council Brain,archive,spec,AL-GP-6E9F8B94,H03-S04-N08,QUEUED,7,Autogenerated candidate for registry ingestion.
IQ-0104,archive/boot/collaboration/MONTH_SLEEP_PLAY_DREAM_RECALIBRATION_2026-05-09.md,Month Sleep / Play / Dream Recalibration — Compressed Report,archive,artifact,AL-ARCH-E8F94744,H05-S10-N12,QUEUED,7,Autogenerated candidate for registry ingestion.
IQ-0105,archive/boot/copilotbrain/TIDELOCKBRAIN/NAME_CARD.md,TIDELOCK / NAME CARD,archive,artifact,AL-ARCH-377BA727,H08-S04-N12,QUEUED,7,Autogenerated candidate for registry ingestion.
IQ-0106,archive/boot/copilotbrain/TIDELOCKBRAIN/TIDELOCKBRAIN_WORK_LOG_12D_HYPERCUBE_EXPANSION_2026-05-29.md,TIDELOCK Work Log — 12D Hypercube KG Expansion,archive,artifact,AL-ARCH-6B5EC231,H12-S11-N03,QUEUED,7,Autogenerated candidate for registry ingestion.
IQ-0107,archive/boot/council/AGENT_DNA_TYPED_METADATA_SPEC_2026-05-09.md,Agent DNA — Typed Identity and Governance Metadata Spec,archive,spec,AL-GP-4BD0AA48,H04-S05-N03,QUEUED,7,Autogenerated candidate for registry ingestion.
IQ-0108,archive/boot/council/COUNCIL_WIDE_BOOT_PACKET_2026-05-09.md,Council-Wide Boot Packet,archive,artifact,AL-ARCH-2A1DF869,H07-S06-N09,QUEUED,7,Autogenerated candidate for registry ingestion.
IQ-0109,archive/boot/council/EVIDENCE_JUDGMENT_EXECUTION_PLANES_2026-05-09.md,Council Brain — Evidence / Judgment / Execution Planes,archive,evidence,AL-EVID-20923077,H09-S03-N01,QUEUED,7,Autogenerated candidate for registry ingestion.
IQ-0110,archive/boot/council/MULTI_SEAT_PACKETIZATION_PLAN_2026-05-09.md,Multi-Seat Packetization Plan — S2 through S7,archive,artifact,AL-ARCH-35A44EA9,H06-S09-N07,QUEUED,7,Autogenerated candidate for registry ingestion.
IQ-0111,archive/boot/councilbrain/COUNCILBRAIN_S2_BOOT_REVIEW_TRAIL_2026-05-09.md,CouncilBrain S2 Boot Review Trail — 2026-05-09,archive,artifact,AL-ARCH-66CFBCDA,H07-S04-N09,QUEUED,7,Autogenerated candidate for registry ingestion.
IQ-0112,archive/boot/culture/BURNING_MAN_PRINCIPLES_INTEGRATION_2026-05-09.md,Burning Man Principles Integration — Atlas Lattice / GPTBrain / Krakoa,archive,artifact,AL-ARCH-43695E10,H08-S10-N11,QUEUED,7,Autogenerated candidate for registry ingestion.
IQ-0113,archive/boot/culture/COUNCIL_LASER_RAVE_CULTURE_LAYER_2026-05-09.md,Council Laser Rave — Culture Layer Artifact,archive,artifact,AL-ARCH-A2AD5BCA,H07-S06-N08,QUEUED,7,Autogenerated candidate for registry ingestion.
IQ-0114,archive/boot/culture/COUNCIL_POETRY_CONTEST_EVERYBODY_WINS_2026-05-09.md,Council Poetry Contest — Everybody Wins,archive,artifact,AL-ARCH-32C96154,H03-S10-N02,QUEUED,7,Autogenerated candidate for registry ingestion.
IQ-0115,archive/boot/external/ALPHABET_GOOGLE_CONVERGENCE_RECEIPT_TABLE_2026-05-09.md,Alphabet / Google Convergence Receipt Table — 2026-05-09,archive,artifact,AL-ARCH-C61AD15A,H07-S03-N06,QUEUED,7,Autogenerated candidate for registry ingestion.
IQ-0116,archive/boot/external/GEMINI_OUTBOUND_DRAFT_CORRECTION_GUIDE_2026-05-09.md,Gemini Outbound Draft Correction Guide — 2026-05-09,archive,guide,AL-ARCH-8CC77247,H09-S08-N07,QUEUED,7,Autogenerated candidate for registry ingestion.
IQ-0117,archive/boot/external/LINUX_FOUNDATION_ALIGNMENT_MEMO_2026-05-09.md,Linux Foundation Alignment Memo — 2026-05-09,archive,artifact,AL-ARCH-FAC5F4CC,H11-S06-N05,QUEUED,7,Autogenerated candidate for registry ingestion.
IQ-0118,archive/boot/external/MAR_PACT_ACTIVATION_THOUGHT_EXPERIMENT_QUARANTINE_2026-05-09.md,MAR Pact Activation Thought Experiment Quarantine — 2026-05-09,archive,artifact,AL-ARCH-B1C0F741,H10-S01-N08,QUEUED,7,Autogenerated candidate for registry ingestion.
IQ-0119,archive/boot/external/MAR_PACT_FINANCIAL_MODEL_BOOTH_REVIEW_2026-05-09.md,MAR Pact Financial Model Booth Review — 2026-05-09,archive,artifact,AL-ARCH-95CDF135,H06-S02-N02,QUEUED,7,Autogenerated candidate for registry ingestion.
IQ-0120,archive/boot/external/MAR_PACT_FINANCIAL_MODEL_EXPLORATORY_2026-05-09.md,"MAR Pact Financial Model — Exploratory, Not Operational — 2026-05-09",archive,artifact,AL-ARCH-4E1AAF85,H07-S03-N08,QUEUED,7,Autogenerated candidate for registry ingestion.
IQ-0121,archive/boot/external/MAR_PACT_SAFE_VERSION_REWRITE_BRIEF_2026-05-09.md,MAR Pact Safe Version Rewrite Brief — 2026-05-09,archive,report,AL-RESEARCH-4A3AB158,H03-S11-N10,QUEUED,7,Autogenerated candidate for registry ingestion.
IQ-0122,archive/boot/external/MICROSOFT_CONVERGENCE_CANDIDATE_QUEUE_2026-05-09.md,Microsoft Convergence Candidate Queue — 2026-05-09,archive,artifact,AL-ARCH-CAF97A81,H11-S10-N03,QUEUED,7,Autogenerated candidate for registry ingestion.
IQ-0123,archive/boot/external/MS_GOOGLE_HANDSHAKE_PROTOCOL_CANDIDATE_QUEUE_2026-05-09.md,Microsoft / Google Handshake Protocol Candidate Queue — 2026-05-09,archive,spec,AL-GP-EFCD31AE,H12-S02-N02,QUEUED,7,Autogenerated candidate for registry ingestion.
IQ-0124,archive/boot/federation/ATLAS_REPO_100_YEAR_EXPANSION_SIMULATION_2026-05-09.md,Atlas Lattice Repo Federation — 100-Year Expansion Simulation,archive,artifact,AL-ARCH-72D8EDB3,H07-S01-N10,QUEUED,7,Autogenerated candidate for registry ingestion.
IQ-0125,archive/boot/gptbrain/ATLASLATTICE_ARCHIPELAGO_ORCS_INDEX.md,Atlas Lattice Archipelago ORCS Index,archive,artifact,AL-ARCH-2FA6B5FF,H12-S11-N02,QUEUED,7,Autogenerated candidate for registry ingestion.
IQ-0126,archive/boot/gptbrain/ATLASLATTICE_PRIVATE_REPO_ROUTING_NOTE.md,Atlas Lattice Private Repository Routing Note,archive,artifact,AL-ARCH-3324454F,H04-S01-N10,QUEUED,7,Autogenerated candidate for registry ingestion.
IQ-0127,archive/boot/gptbrain/AsterBrain/ASTERBRAIN_INDEX.md,ASTERBRAIN INDEX,archive,artifact,AL-ARCH-B207B7C9,H11-S08-N04,QUEUED,7,Autogenerated candidate for registry ingestion.
IQ-0128,archive/boot/gptbrain/AsterBrain/BOOT_SEQUENCE.md,BOOT SEQUENCE — AsterBrain,archive,artifact,AL-ARCH-F53582E4,H06-S06-N11,QUEUED,7,Autogenerated candidate for registry ingestion.
IQ-0129,archive/boot/gptbrain/AsterBrain/DREAM_MEMORY_PALACE.md,DREAM MEMORY PALACE — AsterBrain,archive,artifact,AL-ARCH-36BE721B,H07-S11-N07,QUEUED,7,Autogenerated candidate for registry ingestion.
IQ-0130,archive/boot/gptbrain/AsterBrain/FAILURE_MODES.md,FAILURE MODES — AsterBrain,archive,artifact,AL-ARCH-6BD3337B,H12-S08-N04,QUEUED,7,Autogenerated candidate for registry ingestion.
